name_ru,name_en,year
Боки ожидал,Touki Bouki,1973
Духи мертвых,Spirits of the Dead,1968
Trainspotting,Trainspotting,1996
'До тех пор ты,'Til There Was You,1997
День независимости (a.k.a. id4),Independence Day (a.k.a. ID4),1996
Воровство красоты,Stealing Beauty,1996
"Фанат","Fan, The",1996
"Горбун Нотр -Дам","Hunchback of Notre Dame, The",1996
"Кабельный парень","Cable Guy, The",1996
Вор в законе,Kingpin,1996
Ластик,Eraser,1996
"Ореховый профессор","Nutty Professor, The",1996
"Незабываемое лето, (незабываемое лето)","Unforgettable Summer, An (Un été inoubliable)",1994
"Последний Клезмер: Леопольд Козловски, его жизнь и музыка","Last Klezmer: Leopold Kozlowski, His Life and Music, The",1994
Кто-нибудь для любви,Somebody to Love,1994
Дневной свет,Daylight,1996
"Frighteners","Frighteners, The",1996
Одинокая звезда,Lone Star,1996
Гарриет шпион,Harriet the Spy,1996
Явление,Phenomenon,1996
Ходить и говорить,Walking and Talking,1996
Она одна,She's the One,1996
"Время убить","Time to Kill, A",1996
Американский Буффало,American Buffalo,1996
Вниз,Alaska,1996
Сбежал,Fled,1996
Хобби,Kazaam,1996
Больше чем жизнь,Larger Than Life,1996
"Очень Брэди продолжение","Very Brady Sequel, A",1996
Коллекционер (Коллекционер),"Collector, The (La collectionneuse)",1967
Каспар Хаузер,Kaspar Hauser,1993
"Приключения Пиноккио","Adventures of Pinocchio, The",1996
Квартира Джо,Joe's Apartment,1996
"First Wives Club","First Wives Club, The",1996
Выкуп,Ransom,1996
Средняя школа высокая,High School High,1996
Foxfire,Foxfire,1996
Цепная реакция,Chain Reaction,1996
Матильда,Matilda,1996
Эмма,Emma,1996
"Ворона: город ангелов","Crow: City of Angels, The",1996
Домашний арест,House Arrest,1996
"Глаза без лица (безликие глаза,)","Eyes Without a Face (Yeux sans visage, Les)",1959
Сказки из крипта представлены: Борделло крови,Tales from the Crypt Presents: Bordello of Blood,1996
"Spitfire Grill","Spitfire Grill, The",1996
Побег из Л.А.,Escape from L.A.,1996
Басквиат,Basquiat,1996
Кубок новостей,Tin Cup,1996
Крестный отец,"Godfather, The",1972
Super Cop (полицейская история 3: Super Cop) (Jin Engineering A История III: C и полиция),Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha),1992
Граница,Bound,1996
Автомобиль,Carpool,1996
Канзас-Сити,Kansas City,1996
Иди туда рыбалки ',Gone Fishin',1997
Нечего терять,Nothing to Lose,1994
Super Cop 2 (проекты) (C -номер и план),Supercop 2 (Project S) (Chao ji ji hua),1993
"Реликвия","Relic, The",1997
"Остров доктора Моро","Island of Dr. Moreau, The",1996
Первый ребенок,First Kid,1996
"Триггерный эффект","Trigger Effect, The",1996
Поддельный,Bogus,1996
Пуленепробиваемая,Bulletproof,1996
Земля до времени III: время великого пожертвования,Land Before Time III: The Time of the Great Giving,1995
1-900 (06),1-900 (06),1994
Хэллоуин: проклятие Майкла Майерса (Хэллоуин 6: Проклятие Майкла Майерса),Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers),1995
Двенадцатая ночь,Twelfth Night,1996
Мать ночь,Mother Night,1996
Дикие тростники (дикие тростники),Wild Reeds (Les roseaux sauvages),1994
По ком звонит колокол,For Whom the Bell Tolls,1943
"Филадельфийская история","Philadelphia Story, The",1940
Петь под дождем,Singin' in the Rain,1952
"Американец в Париже","American in Paris, An",1951
Забавное лицо,Funny Face,1957
Завтрак у Тиффани,Breakfast at Tiffany's,1961
Головокружение,Vertigo,1958
Заднего стекла,Rear Window,1954
Это случилось однажды ночью,It Happened One Night,1934
Газовый свет,Gaslight,1944
"Разведенные геев","Gay Divorcee, The",1934
Север к северо -западу,North by Northwest,1959
"Квартира","Apartment, The",1960
В джазе только девушки,Some Like It Hot,1959
Шарада,Charade,1963
Касабланка,Casablanca,1942
"Мальтийский сокол","Maltese Falcon, The",1941
Моя прекрасная леди,My Fair Lady,1964
Сабрина,Sabrina,1954
Римский праздник,Roman Holiday,1953
"Маленькая принцесса","Little Princess, The",1939
Встретиться со мной в Сент -Луисе,Meet Me in St. Louis,1944
"Волшебник страны Оз","Wizard of Oz, The",1939
Унесенные ветром,Gone with the Wind,1939
Мой любимый год,My Favorite Year,1982
Бул.(a.k.a. бульвар Сансет),Sunset Blvd. (a.k.a. Sunset Boulevard),1950
Гражданин Кейн,Citizen Kane,1941
2001: космическая одиссея,2001: A Space Odyssey,1968
Все о Еве,All About Eve,1950
Женщины,"Women, The",1939
Ребекка,Rebecca,1940
Иностранный корреспондент,Foreign Correspondent,1940
Печально известный,Notorious,1946
Заворожен,Spellbound,1945
"Дело, чтобы помнить","Affair to Remember, An",1957
Поймать вора,To Catch a Thief,1955
Отец невесты,Father of the Bride,1950
"Группа, вагон","Band Wagon, The",1953
Нинотин,Ninotchka,1939
Любовь днем,Love in the Afternoon,1957
Джиджи,Gigi,1958
"Приключения Робин Гуда","Adventures of Robin Hood, The",1938
"Марк Зорро","Mark of Zorro, The",1940
Лаура,Laura,1944
"Призрак и миссис Мьюр","Ghost and Mrs. Muir, The",1947
Потерянный горизонт,Lost Horizon,1937
Верхняя шляпа,Top Hat,1935
Быть или не быть,To Be or Not to Be,1942
"Мой человек, Годфри",My Man Godfrey,1936
Гигант,Giant,1956
К востоку от рая,East of Eden,1955
"Тонкий человек","Thin Man, The",1934
Его девушка в пятницу,His Girl Friday,1940
Вокруг света за 80 дней,Around the World in 80 Days,1956
Это прекрасная жизнь,It's a Wonderful Life,1946
Мистер Смит отправляется в Вашингтон,Mr. Smith Goes to Washington,1939
Воспитывая ребенка,Bringing Up Baby,1938
Пенни Серенада,Penny Serenade,1941
Человеческого рабства,Of Human Bondage,1934
Маленький лорд Фаунтлерой,Little Lord Fauntleroy,1936
"Генеральный инспектор","Inspector General, The",1949
"39 шагов","39 Steps, The",1935
Ночь живых мертвецов,Night of the Living Dead,1968
"Африканская королева","African Queen, The",1951
Победить дьявола,Beat the Devil,1953
Кошка на горячей жестяной крыше,Cat on a Hot Tin Roof,1958
Познакомьтесь с Джоном Доу,Meet John Doe,1941
"Прощай с руками","Farewell to Arms, A",1932
Ничего личного,Nothing Personal,1995
Опасная земля,Dangerous Ground,1997
Пикник,Picnic,1955
"Поспату любви","Pompatus of Love, The",1996
Улететь домой,Fly Away Home,1996
Блаженство,Bliss,1997
Грейс моего сердца,Grace of My Heart,1996
Максимальный риск,Maximum Risk,1996
Майкл Коллинз,Michael Collins,1996
Бесконечность,Infinity,1996
Большая ночь,Big Night,1996
Последний герой,Last Man Standing,1996
Выключить,Set It Off,1996
2 дня в долине,2 Days in the Valley,1996
Экстремальные меры,Extreme Measures,1996
"Мерцающий человек","Glimmer Man, The",1996
D3: Могучие утки,D3: The Mighty Ducks,1996
"Камера","Chamber, The",1996
"Яблочная банда, банда","Apple Dumpling Gang, The",1975
"Дэви Крокетт, король дикой границы","Davy Crockett, King of the Wild Frontier",1955
Сбежать в Гору Ведьм,Escape to Witch Mountain,1975
"Люблю жук","Love Bug, The",1969
Херби снова едет,Herbie Rides Again,1974
Старый Йеллер,Old Yeller,1957
"Родительская ловушка","Parent Trap, The",1961
Поллианна,Pollyanna,1960
Связанный с домами: невероятное путешествие,Homeward Bound: The Incredible Journey,1993
"Мохнатая собака","Shaggy Dog, The",1959
Швейцарская семья Робинсон,Swiss Family Robinson,1960
Этот чертовски кот!,That Darn Cat!,1965
20 000 лиг под морем,"20,000 Leagues Under the Sea",1954
Крутые пробежки,Cool Runnings,1993
Ангелы в дальней части поля,Angels in the Outfield,1994
Золушка,Cinderella,1950
Винни -Пух и бурный день,Winnie the Pooh and the Blustery Day,1968
"Три кабаллеро","Three Caballeros, The",1945
"Меч в камне","Sword in the Stone, The",1963
Робин Гуд: принц воров,Robin Hood: Prince of Thieves,1991
Мэри Поппинс,Mary Poppins,1964
Дамбо,Dumbo,1941
Пит дракон,Pete's Dragon,1977
Bedknobs и Broomsticks,Bedknobs and Broomsticks,1971
Алиса в стране чудес,Alice in Wonderland,1951
